bucket_id,cluster_id,weight
1,3,1.0
2,3,1.0
3,11,1.0
4,3,1.0
5,1,1.0
6,24,1.0
7,1,1.0
8,1,1.0
9,1,1.0
10,3,1.0
11,37,1.0
12,3,1.0
13,45,1.0
14,45,1.0
15,15,1.0
16,45,1.0
17,45,1.0
18,45,1.0
19,45,1.0
20,45,1.0
21,45,1.0
22,45,1.0
23,45,1.0
24,45,1.0
25,45,1.0
26,45,1.0
27,45,1.0
28,1,1.0
29,15,1.0
30,37,1.0
31,37,1.0
32,24,1.0
33,1,1.0
34,1,1.0
35,1,1.0
36,1,1.0
37,1,1.0
38,1,1.0
39,20,1.0
40,1,1.0
41,11,1.0
42,15,1.0
43,1,1.0
44,1,1.0
45,15,1.0
46,15,1.0
47,30,1.0
48,15,1.0
49,30,1.0
50,24,1.0
51,15,1.0
52,15,1.0
53,25,1.0
54,15,1.0
55,15,1.0
56,24,1.0
57,30,1.0
58,1,1.0
59,1,1.0
60,1,1.0
61,1,1.0
62,1,1.0
63,1,1.0
64,11,1.0
65,11,1.0
66,30,1.0
67,1,1.0
68,3,1.0
69,30,1.0
70,30,1.0
71,1,1.0
72,1,1.0
73,8,1.0
74,1,1.0
75,1,1.0
76,24,1.0
77,1,1.0
78,24,1.0
79,1,1.0
80,1,1.0
81,7,1.0
82,1,1.0
83,1,1.0
84,1,1.0
85,42,1.0
86,16,1.0
87,28,1.0
88,42,1.0
89,16,1.0
90,45,1.0
91,42,1.0
92,16,1.0
93,29,1.0
94,16,1.0
95,11,1.0
96,16,1.0
97,26,1.0
98,21,1.0
99,26,1.0
100,16,1.0
101,21,1.0
102,24,1.0
103,21,1.0
104,21,1.0
105,1,1.0
106,1,1.0
107,28,1.0
108,28,1.0
109,1,1.0
110,37,1.0
111,6,1.0
112,37,1.0
113,37,1.0
114,37,1.0
115,37,1.0
116,37,1.0
117,1,1.0
118,4,1.0
119,20,1.0
120,30,1.0
121,1,1.0
122,1,1.0
123,31,1.0
124,11,1.0
125,11,1.0
126,29,1.0
127,11,1.0
128,11,1.0
129,1,1.0
130,1,1.0
131,32,1.0
132,1,1.0
133,1,1.0
134,3,1.0
135,6,1.0
136,1,1.0
137,3,1.0
138,3,1.0
139,3,1.0
140,3,1.0
141,3,1.0
142,3,1.0
143,3,1.0
144,3,1.0
145,31,1.0
146,24,1.0
147,1,1.0
148,1,1.0
149,1,1.0
150,1,1.0
151,1,1.0
152,1,1.0
153,1,1.0
154,6,1.0
155,43,1.0
156,11,1.0
157,11,1.0
158,11,1.0
159,1,1.0
160,1,1.0
161,1,1.0
162,1,1.0
163,37,1.0
164,21,1.0
165,1,1.0
166,16,1.0
167,15,1.0
168,31,1.0
169,31,1.0
170,11,1.0
171,11,1.0
172,45,1.0
173,45,1.0
174,30,1.0
175,30,1.0
176,11,1.0
177,1,1.0
178,11,1.0
179,11,1.0
180,1,1.0
181,6,1.0
182,37,1.0
183,6,1.0
184,1,1.0
185,1,1.0
186,1,1.0
187,1,1.0
188,1,1.0
189,1,1.0
190,31,1.0
191,31,1.0
192,1,1.0
193,1,1.0
194,1,1.0
195,1,1.0
196,1,1.0
197,6,1.0
198,7,1.0
199,1,1.0
200,1,1.0
201,1,1.0
202,1,1.0
203,31,1.0
204,1,1.0
205,37,1.0
206,37,1.0
207,1,1.0
208,1,1.0
209,1,1.0
210,1,1.0
211,1,1.0
212,1,1.0
213,15,1.0
214,15,1.0
215,15,1.0
216,15,1.0
217,15,1.0
218,15,1.0
219,15,1.0
