cluster_u,cluster_v,weight,source
5,12,0.9367723778898885,centroid
12,5,0.9367723778898885,centroid
5,14,0.8392026348946684,centroid
14,5,0.8392026348946684,centroid
12,14,0.9600092517381804,centroid
14,12,0.9600092517381804,centroid
16,38,0.9766279277713674,centroid
38,16,0.9766279277713674,centroid
26,39,0.9990377956604034,centroid
39,26,0.9990377956604034,centroid
27,47,0.9996025872940179,centroid
47,27,0.9996025872940179,centroid
