cluster_id,n_buckets,centroid_row
0,80,0
1,17345,1
2,92,2
3,1146,3
4,1504,4
5,1066,5
6,289,6
7,536,7
8,281,8
9,519,9
10,315,10
11,5155,11
12,310,12
13,199,13
14,128,14
15,950,15
16,1936,16
17,66,17
18,101,18
19,405,19
20,1254,20
21,2592,21
22,101,22
23,442,23
24,1735,24
25,130,25
26,130,26
27,86,27
28,634,28
29,1767,29
30,1621,30
31,216,31
32,600,32
33,70,33
34,448,34
35,227,35
36,66,36
37,730,37
38,566,38
39,181,39
40,173,40
41,979,41
42,120,42
43,208,43
44,173,44
45,912,45
46,695,46
47,65,47
